metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.9473,0.90013,0.9554,0.82078,0.59342,0.3854,0.95697,53,1763395513,,False,53,35bf4_00009,2025-11-17_11-05-13,90.95556712150574,4829.63093996048,20324,LAPTOP-2DUVSE15,127.0.0.1,4829.63093996048,53
0.95578,0.88759,0.95792,0.82259,0.59142,0.38353,0.95893,54,1763395604,,False,54,35bf4_00009,2025-11-17_11-06-44,90.79725217819214,4920.428192138672,20324,LAPTOP-2DUVSE15,127.0.0.1,4920.428192138672,54
0.93946,0.90123,0.95416,0.81932,0.58654,0.38278,0.95251,55,1763395694,,False,55,35bf4_00009,2025-11-17_11-08-14,90.3721878528595,5010.800379991531,20324,LAPTOP-2DUVSE15,127.0.0.1,5010.800379991531,55
0.94407,0.9086,0.95628,0.82436,0.58923,0.37548,0.9476,56,1763395786,,False,56,35bf4_00009,2025-11-17_11-09-46,91.86095809936523,5102.661338090897,20324,LAPTOP-2DUVSE15,127.0.0.1,5102.661338090897,56
0.94589,0.91076,0.95566,0.82363,0.58954,0.37178,0.9585,57,1763395877,,False,57,35bf4_00009,2025-11-17_11-11-17,91.25524854660034,5193.916586637497,20324,LAPTOP-2DUVSE15,127.0.0.1,5193.916586637497,57
0.92893,0.91304,0.96114,0.82389,0.58637,0.36407,0.95672,58,1763395968,,False,58,35bf4_00009,2025-11-17_11-12-48,90.43347239494324,5284.35005903244,20324,LAPTOP-2DUVSE15,127.0.0.1,5284.35005903244,58
0.92332,0.90743,0.95181,0.82138,0.57902,0.37837,0.94903,59,1763396058,,False,59,35bf4_00009,2025-11-17_11-14-18,90.53955101966858,5374.889610052109,20324,LAPTOP-2DUVSE15,127.0.0.1,5374.889610052109,59
0.93868,0.91425,0.95903,0.82907,0.58086,0.3677,0.95022,60,1763396149,,False,60,35bf4_00009,2025-11-17_11-15-49,90.51041793823242,5465.400027990341,20324,LAPTOP-2DUVSE15,127.0.0.1,5465.400027990341,60
0.94602,0.8943,0.95758,0.82417,0.57947,0.3722,0.95149,61,1763396240,,False,61,35bf4_00009,2025-11-17_11-17-20,90.90863704681396,5556.308665037155,20324,LAPTOP-2DUVSE15,127.0.0.1,5556.308665037155,61
0.93759,0.90376,0.95845,0.82854,0.57885,0.3581,0.94531,62,1763396331,,False,62,35bf4_00009,2025-11-17_11-18-51,90.85898947715759,5647.167654514313,20324,LAPTOP-2DUVSE15,127.0.0.1,5647.167654514313,62
0.96258,0.8855,0.9598,0.82692,0.58083,0.36872,0.95003,63,1763396421,,False,63,35bf4_00009,2025-11-17_11-20-21,90.67066860198975,5737.8383231163025,20324,LAPTOP-2DUVSE15,127.0.0.1,5737.8383231163025,63
0.94347,0.90743,0.96079,0.83193,0.57522,0.3563,0.94506,64,1763396512,,False,64,35bf4_00009,2025-11-17_11-21-52,90.52209281921387,5828.360415935516,20324,LAPTOP-2DUVSE15,127.0.0.1,5828.360415935516,64
0.94331,0.92236,0.96146,0.83147,0.57026,0.35352,0.94379,65,1763396603,,False,65,35bf4_00009,2025-11-17_11-23-23,90.75074934959412,5919.1111652851105,20324,LAPTOP-2DUVSE15,127.0.0.1,5919.1111652851105,65
0.93841,0.90804,0.9591,0.83288,0.57707,0.36396,0.94892,66,1763396694,,False,66,35bf4_00009,2025-11-17_11-24-54,91.05760717391968,6010.16877245903,20324,LAPTOP-2DUVSE15,127.0.0.1,6010.16877245903,66
0.94081,0.9185,0.95922,0.83127,0.56896,0.34817,0.94065,67,1763396785,,False,67,35bf4_00009,2025-11-17_11-26-25,90.99959993362427,6101.168372392654,20324,LAPTOP-2DUVSE15,127.0.0.1,6101.168372392654,67
0.95195,0.89893,0.95879,0.82887,0.56995,0.3578,0.94621,68,1763396875,,False,68,35bf4_00009,2025-11-17_11-27-55,90.62906408309937,6191.797436475754,20324,LAPTOP-2DUVSE15,127.0.0.1,6191.797436475754,68
0.95224,0.91049,0.96137,0.83224,0.56408,0.34685,0.94082,69,1763396966,,False,69,35bf4_00009,2025-11-17_11-29-26,91.14803791046143,6282.945474386215,20324,LAPTOP-2DUVSE15,127.0.0.1,6282.945474386215,69
0.93888,0.91848,0.96229,0.83363,0.57371,0.34572,0.94512,70,1763397057,,False,70,35bf4_00009,2025-11-17_11-30-57,90.74533438682556,6373.690808773041,20324,LAPTOP-2DUVSE15,127.0.0.1,6373.690808773041,70
0.92752,0.92396,0.96192,0.8325,0.5731,0.34881,0.94487,71,1763397148,,False,71,35bf4_00009,2025-11-17_11-32-28,90.55703592300415,6464.247844696045,20324,LAPTOP-2DUVSE15,127.0.0.1,6464.247844696045,71
0.91667,0.93815,0.96366,0.83204,0.57379,0.34996,0.9529,72,1763397238,,False,72,35bf4_00009,2025-11-17_11-33-58,90.17338395118713,6554.421228647232,20324,LAPTOP-2DUVSE15,127.0.0.1,6554.421228647232,72
0.9532,0.90839,0.95867,0.82898,0.57012,0.35028,0.94882,73,1763397329,,False,73,35bf4_00009,2025-11-17_11-35-29,90.92323970794678,6645.344468355179,20324,LAPTOP-2DUVSE15,127.0.0.1,6645.344468355179,73
