epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,3605.65,0.4739,0.42584,0.93576,0.96056,0.92419,0.96788,0.84456,0.55431,0.29637,0.95092,0.001684,0.001684,0.001684
170,3626.44,0.47149,0.4255,0.93466,0.96317,0.92787,0.96774,0.84514,0.55593,0.29889,0.95167,0.0016345,0.0016345,0.0016345
171,3647.49,0.4729,0.41765,0.93591,0.95645,0.9294,0.96638,0.84154,0.55704,0.30211,0.95112,0.001585,0.001585,0.001585
172,3668.42,0.4786,0.43077,0.93877,0.95389,0.92955,0.96627,0.8405,0.5556,0.30258,0.95105,0.0015355,0.0015355,0.0015355
173,3689.52,0.46896,0.41577,0.93188,0.95402,0.93019,0.96624,0.84182,0.55271,0.29962,0.94843,0.001486,0.001486,0.001486
174,3710.74,0.46714,0.41538,0.9318,0.95747,0.92771,0.96638,0.84265,0.55212,0.30011,0.94863,0.0014365,0.0014365,0.0014365
175,3731.78,0.45847,0.41895,0.93168,0.96077,0.92501,0.96686,0.84276,0.55332,0.30064,0.94914,0.001387,0.001387,0.001387
176,3752.58,0.4628,0.40922,0.93344,0.95883,0.92659,0.96768,0.84263,0.55252,0.29917,0.94923,0.0013375,0.0013375,0.0013375
177,3773.6,0.45889,0.40437,0.92905,0.96094,0.92739,0.96725,0.84392,0.55295,0.29999,0.94898,0.001288,0.001288,0.001288
178,3794.54,0.47046,0.40851,0.93331,0.95904,0.92558,0.9668,0.84244,0.55315,0.29982,0.94953,0.0012385,0.0012385,0.0012385
179,3815.7,0.45599,0.40435,0.92838,0.96675,0.91965,0.9661,0.84148,0.55227,0.29951,0.94939,0.001189,0.001189,0.001189
180,3836.85,0.45625,0.40162,0.92609,0.96549,0.92074,0.9656,0.84274,0.55146,0.30115,0.94819,0.0011395,0.0011395,0.0011395
181,3857.96,0.45604,0.40524,0.92923,0.96232,0.92395,0.96593,0.84256,0.55113,0.30281,0.94721,0.00109,0.00109,0.00109
182,3879.11,0.45702,0.40585,0.92799,0.96209,0.92334,0.96648,0.84287,0.55003,0.29896,0.94603,0.0010405,0.0010405,0.0010405
183,3900.06,0.45659,0.40529,0.92693,0.96016,0.92448,0.96603,0.84293,0.55022,0.30405,0.9461,0.000991,0.000991,0.000991
